fecha,mundo,operador,sesion,tokens,costo_usd,nota
2026-09-03,hidro-self-service,windows,cso-auditoria+registro-mundo,240000,0,"Estimado. Sin codigo de produccion. (1) Lectura completa del repo hidro-self-service (api/shared/state-machine/web/firmware/docs/infra) que vive FUERA de Madre + verificacion: npm test 46/46 verde y tsc limpio en api y web. (2) /cso: 3 bloqueantes de firmware que ningun test detecta porque la suite corre contra un simulador TypeScript y el firmware C++ nunca se compila (x-device-ts manda uptime en segundos donde el backend espera epoch en ms; PEM del root CA truncado con texto de relleno adentro; HIDRO_API_BASE_URL con esquema pegado). Ademas: falta guarda dura del relay (rollover de millis() = motor que no se apaga), processApproval fuera de transaccion pese a que el docblock promete serializacion, el limite de 2 lavados/dia se saltea entre maquinas, 'hoy' es el dia del servidor y no el de Ushuaia, sin Dockerfile y listen fijo en 127.0.0.1, notification_url de MP apunta al front, salt fijo en el hash de admin, drizzle-orm con advisory HIGH. (3) prompt-deepseek-correcciones.md: 7 bloques con archivo:linea y el fix. (4) Registro del 6to Mundo: MUNDO-TEMPLATE clonado y llenado (CLAUDE/ESTADO/MAPA/ADR/cadencia/conexiones/skills/storyline/referencia) + slug en .claude/settings.json + MAPA/ESTADO/ADR/dashboard del Universo. 2 excepciones nuevas al ADR del Universo: codigo fuera de Madre, y modo hibrido DeepSeek/gstack (segunda aplicacion, la 1ra fue Chatboot)."
2026-09-03,hidro-self-service,windows,verificacion-ronda1-deepseek,150000,0,"Estimado. Verificacion de la ronda 1 de correcciones de DeepSeek, bloque por bloque contra prompt-deepseek-correcciones.md. Verificado ejecutando, no leyendo: npm test 48/48 (eran 46, los 2 tests que pedi estan y pasan), tsc limpio en api y web, npm audit de 1 high + 7 moderate a 0 high + 7 moderate, root CA del firmware confirmado con openssl x509 (ISRG Root X1 real, fingerprint SHA256 correcto, valido a 2035), docker build OK y docker run FALLA. Arreglados: los 3 bloqueantes del firmware (NTP+epoch ms con gate timeValid, CA real, host sin esquema), guarda dura del relay rollover-safe llamada primero en el loop, processApproval en transaccion, limite diario entre maquinas, timeout 600->120, PUBLIC_API_URL, API_HOST, trust proxy, salt aleatorio, devices.json solo demo, drizzle ^0.45.2, sql.raw->inArray, docs de README y device-protocol, bloque de decision de la patente sin implementar. 2 ROTAS: (1) el fix de TZ tiene el signo invertido en las dos operaciones -> el dia arranca a las 18:00 de Ushuaia en vez de 00:00 (medido con 3 timestamps); (2) el Dockerfile construye pero el contenedor muere con ERR_MODULE_NOT_FOUND @hidro/shared porque node_modules/@hidro/* son symlinks a packages/* y runtime nunca copia packages/ (confirmado corriendo la imagen). 4 menores. Escrito prompt-deepseek-correcciones-2.md. SIGUE PENDIENTE de la ronda 1: pio run, el firmware nunca se compilo."
2026-09-04,hidro-self-service,windows,verificacion-ronda2+build-propio+firmware-compila,260000,0,"Estimado. PRIMERA SESION CON BUILD PROPIO (ADR-008 revierte ADR-005: el codigo pasa de DeepSeek a Claude, pedido de Pablo). (1) Verificada la ronda 2 de DeepSeek EJECUTANDO, no leyendo: signo de la TZ corregido (corri los 4 casos borde), Dockerfile arreglado (docker build + docker run + curl /health respondiendo, mas un chown del dataDir que ellos agregaron y yo no habia detectado), parser ISO8601 del firmware porteado a JS y fuzzeado con 20.006 fechas contra Date.parse: 0 diferencias y rechaza bien lo malformado. Docs C.1-C.4 corregidos. (2) HALLAZGO PROPIO: platformio.ini NUNCA declaro lib_deps y el codigo incluye ArduinoJson (libreria de terceros, sin carpeta lib/): el firmware era ESTRUCTURALMENTE INCOMPILABLE, causa raiz de que nadie lo hubiera compilado en 3 rondas. (3) Instale PlatformIO en un venv aislado (toolchain ~600 MB en ~/.platformio) y compile: aparecieron 2 errores mas que solo ve un compilador y que el chequeo estatico por grep daba en verde: colision macro/identificador (#define BUTTON_DEBOUNCE_MS 50 contra static constexpr uint32_t BUTTON_DEBOUNCE_MS = 50) y dos ternarios sin tipo comun (String vs nullptr_t; char[40] vs String vs nullptr_t). Los arregle los tres. FIRMWARE COMPILA: SUCCESS, RAM 14.4%, Flash 72.3% -> cierra la puerta (a) del ADR-006. (4) git init: 123 archivos limpios, agregado .pio/ al gitignore (43 MB); sin commit, lo decide Pablo. (5) package.json: build:firmware y check:firmware (este ultimo estaba huerfano). Verificado al cierre: 58 tests (shared 4 + state-machine 6 + api 48), tsc limpio en api y web. Anotado sin arreglar: la imagen Docker lleva ~70 MB de deps del frontend que la API no usa."
2026-09-04,hidro-self-service,windows,consolidacion-en-mundos+primer-commit-push,90000,0,"Estimado. Pablo creo el repo en GitHub y pregunto si el codigo iba donde estaba o si se traia a mundos/. Evidencia que cerro la decision: Madre/.gitignore tiene /mundos/ y los 4 Mundos anteriores ya viven adentro con repo y remote propios (hidro era el unico afuera), cero colisiones de nombre entre memoria y codigo, y la razon del ADR-004 (lo construia DeepSeek en su harness) murio con el ADR-008. Consolidado con mv dentro del mismo disco. Trampa de la mudanza: apps y packages fallaron con Permission denied porque un esbuild colgado de una corrida vieja de vitest tenia tomado apps/web/node_modules; se movio todo menos node_modules y dist (artefactos, gitignoreados) y se regeneraron con npm install en vez de matar procesos a ciegas. Aviso importante: el snippet que pego Pablo era el de GitHub para repo vacio (git init + echo README) y NO servia — habria pisado el README de 200 lineas y el repo ya estaba inicializado con 123 archivos staged. Chequeada la visibilidad con gh ANTES de pushear: PRIVATE, lo cual importa porque adentro viajan el presupuesto al cliente, contexto.md y el ADR-007 que documenta un agujero de tarifa explotable. Primer commit bc5f744: 138 archivos (123 codigo + 15 memoria), 21.966 lineas, rama main, push OK. Verificado despues de mudar: npm install, tsc limpio en api y web. Confirmado que gstack-slug SIGUE cayendo en madreinsolva pese al remote propio (Madre es el ancestro mas externo), asi que el override sigue siendo obligatorio. Actualizada toda la memoria que describia la estructura vieja: CLAUDE/MAPA/conexiones/referencia del Mundo + MAPA/ESTADO/dashboard del Universo. ADR-012 (consolidacion, supersede ADR-004) y ADR-013 (primer commit)."
2026-09-04,hidro-self-service,windows,handoff-tecnicos-dueno+dominio+tls,85000,0,"Estimado. Sesion de handoff: el software esta tan avanzado como puede estar sin hardware y sin dominio, asi que se convierte lo que falta en pedidos escritos a terceros. ADR-014: reparto de trabajo, Pablo software+firmware y los tecnicos hardware+electrico; escritos mensajes/mensaje-tecnicos.md y mensajes/mensaje-dueno.md, listos para copiar a WhatsApp. ADR-015: hardware objetivo ESP32-WROOM-32 con 4 MB (board=esp32dev; el binario ocupa 947.157 de 1.310.720 B = 72,3%, asi que 4 MB entran con 27% de margen y menos no entra; RAM 14,4%, sin PSRAM). Excluidos C3/S2/S3/C6/H2. HALLAZGO DE SEGURIDAD FISICA en el mismo ADR: RELAY_ACTIVE_LEVEL esta en HIGH con un comentario de validar, y la mayoria de los modulos relay baratos son activo-BAJO; con esa combinacion relay.begin() llama a off(), escribe LOW, el modulo cierra y el motor de 10 HP arranca solo en el boot: el fail-safe queda invertido. Ademas el GPIO 26 flota los ~100 ms previos a pinMode(). HALLAZGO VERIFICADO ADR-016: el firmware pinnea ISRG Root X1 y openssl s_client contra sm.insolvadev.com devuelve la cadena WE1 <- GTS Root R4 <- GlobalSign; Lets Encrypt no aparece, o sea que el ESP32 habria rechazado el TLS en el 100% de los requests con el sintoma mudo el ESP32 no conecta. Se arregla por -DTLS_ROOT_CA (ya soportado en api_client.h:22) y se pasa a bundle de 2 raices. ADR-017: Pablo propuso Vercel; el dominio va (lo exigen MP y el ESP32) pero Vercel NO corre esta API -- Express de proceso largo, PGlite persistiendo a disco, runner de migraciones, polling del ESP32 cada 2 s (~43k invocaciones/dia/maquina), sin build por Dockerfile y con Hobby de uso no comercial. Decidido: server con Coolify + tunel unico bajo subdominio de insolvadev.com. ADR-018: MP con cuenta de desarrollador propia y usuarios de prueba primero (MP no deja pagar una preferencia propia con la misma cuenta), la cuenta real de la cooperativa al final porque la plata tiene que caer en la de ellos. 3 lecciones transferibles al ADR del Universo: verificar la cadena CA real con openssl antes de flashear y pinnear bundle no raiz unica; mirar filesystem/proceso largo/frecuencia antes de elegir serverless; y un default que decide el estado seguro de algo fisico no puede quedar en un comentario de validar."
2026-09-04,hidro-self-service,windows,infra-dominio+bundle-tls+deploy-doc,110000,0,"Estimado. Continuacion autonoma: se monto y verifico la infra de red y se cerro el ADR-016. TUNEL: el frigate-nvr resulto ser LOCALMENTE configurado, no administrable desde Zero Trust -- Cloudflare ofrecia migrarlo pero la migracion es IRREVERSIBLE y el tunel tambien sirve las camaras, asi que NO se toco. Se guio a Pablo a agregar una linea de ingress en /etc/cloudflared/config.yml (hidro-api.insolvadev.com -> http://localhost:80, el mismo target que sm y studio, que rutean por Host header en Traefik) con backup previo, restart del servicio, y CNAME Proxied al tunel. SIN segundo tunel: R1 intacta. Trampa del camino: la primera lectura del config.yml salio mezclada con el prompt de sudo y mostraba UNA sola regla de ingress, lo que llevaba a la conclusion falsa de que sm no pasaba por el tunel; una relectura limpia mostro las 10 reglas reales. Verificado ejecutando: curl al dominio devuelve 404 page not found con x-content-type-options nosniff, que es el 404 de TRAEFIK (Go http.NotFound) y no el http_status:404 del tunel -> la cadena DNS -> Cloudflare -> tunel -> Traefik esta entera. TLS (ADR-016 CERRADO): se midio el fallo ANTES de arreglarlo contra el dominio ya levantado -- con solo ISRG Root X1 (lo que tenia el firmware) Verify return code: 20 unable to get local issuer certificate; con el bundle GTS Root R4 + ISRG Root X1, Verify return code: 0 (ok). Las raices se extrajeron del almacen de confianza local de Git (150 CAs) y NO se copiaron de internet; fingerprints verificados (GTS R4 34:9D:FA:40 vence 2036; ISRG X1 96:BC:EC:06 vence 2035, identica a la que ya estaba, o sea que no se reemplazo nada sino que se sumo). Son DOS a proposito: el server sale por Cloudflare y la nube por Lets Encrypt, asi que con una sola raiz la mudanza a produccion rompe el TLS y obliga a re-flashear igual, anulando la ventaja del DNS. HOSTNAME (ADR-020): HIDRO_API_BASE_URL pasa de dominio.com a hidro-api.insolvadev.com, fijado ANTES del primer deploy porque en el firmware toda la config es de compilacion y NVS solo guarda estado de sesion. HALLAZGO NUEVO SIN ARREGLAR (ADR-022): hay TRES proxies delante y TRUST_PROXY=1 puede hacer que req.ip sea una IP de Cloudflare, con lo cual express-rate-limit agrupa a todos los clientes en la misma cuota; en una maquina de la calle eso es gente que no puede pagar. No se cambio a ciegas, hay que medirlo con la app desplegada. PlatformIO se habia perdido con el venv de la sesion anterior; se reinstalo el CLI (el toolchain de 600 MB seguia cacheado). Trampa: un \n literal en un comentario de C rompio la compilacion porque el script que genero el archivo lo interpreto como salto de linea real. Verificado al cierre: pio run SUCCESS (Flash 72,3%, +768 B por el 2do cert), las 2 raices realmente embebidas en firmware.bin, 58 tests verdes. Escrita docs/deploy-coolify.md. Commits 27efddb + 275c9a5 pusheados."
2026-09-04,hidro-self-service,windows,auditoria-dinero+spec-fase1,95000,0,"Estimado. Pablo pidio seguir con todo lo que no dependiera de el. Se audito por EJECUCION (no por lectura) los caminos donde se cruzan la plata y el motor. ADR-023, el grande: lo que el ESTADO describia como falta de reconciliacion resulto ser peor que una ausencia. A los 120 s sweepExpired pasa la sesion a PAYMENT_EXPIRED y marca el pago EXPIRED sin consultarle nada a Mercado Pago, y ese estado es TERMINAL -- verificado corriendo la maquina de estados compilada: TRANSITIONS.PAYMENT_EXPIRED = [], y PAYMENT_EXPIRED -> PAYMENT_APPROVED es IMPOSIBLE. O sea que el sistema no solo no se entera del pago: registra que no lo hubo y se prohibe a si mismo corregirlo, aunque el webhook llegue dos minutos tarde. Agravante que cambia la probabilidad: los 120 s corren desde sessions.createdAt (cuando el cliente carga la patente), NO desde que abre el checkout de MP, asi que se dispara en un pago lento normal y no en un fallo raro. Es la forma exacta del patron verde con plata faltante que ya esta en la memoria. Resoluble porque createPayment ya setea external_reference = sessionId. Trampa cargada aparte: getPayment() de la interfaz consulta una PREFERENCE y devuelve PENDING hardcodeado; hoy no lo llama nadie, el riesgo es que alguien lo cablee como fallback y CONFIRME la conclusion falsa. ADR-024: el limite diario cuenta SESSION_INTERRUPTED, MACHINE_OFFLINE, DEVICE_ERROR y EMERGENCY_STOP, o sea que el cliente paga con su cupo las fallas del sistema; y PAYMENT_PENDING cuenta, con lo cual un cliente que trastabilla se bloquea solo hasta 2 min sin haber lavado. Consecuencia que obligo a escribir un agregado al mensaje del dueno: el credito automatico que se le ofrecio es INSERVIBLE si el lavado fallido ya quemo el cupo -- reembolso y contabilidad del limite hay que decidirlos juntos. Se chequeo especificamente si el ADR-024 se componia con el ADR-023 y NO se compone (PAYMENT_EXPIRED no cuenta): hipotesis razonable que resulto falsa, queda escrita para que nadie la re-investigue. Verificado tambien SIN bug: la tarifa por defecto es una whitelist, todo lo no registrado y habilitado cae en $8.000, asi que el ADR-002 se confirma. NO se escribio codigo: la fase abre con /office-hours + /autoplan como manda la regla, y se dejo fases/FASE-1.md como materia prima con el problema ya medido, con los reembolsos explicitamente AFUERA del alcance. ESTADO del Mundo reescrito de 80 a 46 lineas. Leccion transferible al ADR del Universo, aplica YA a ecommerce-ar y SM: un barrido que expira por tiempo no puede escribir un veredicto sobre dinero sin preguntarle al proveedor. Commits 7f5a131, 8f6123f, 350bcb3 pusheados."
2026-09-05,hidro-self-service,windows,auditoria-seguridad-deploy,80000,0,"Estimado. Continuacion de la auditoria, ahora sobre el deploy que esta por exponerse a internet. Primero se verifico que gstack NO se puede correr para este Mundo desde una sesion abierta en Madre: gstack-slug resuelve a PMartinGatica-madreinsolva y el unico override es el env var, que no persiste entre llamadas del Bash tool (se leyo el script: no hay override por archivo, solo el env). La Fase 1 con office-hours y autoplan hay que abrirla desde una sesion dentro de la carpeta del Mundo, donde su .claude/settings.json fija el slug. ADR-025, ERROR PROPIO: la guia docs/deploy-coolify.md escrita el dia anterior omitia NODE_ENV=production y sugeria TEST_SPEED_FACTOR=10 y DEVICE_SIMULATOR=true, porque se escribio mirando .env.example y conexiones.md en vez de config.ts. Como todas las guardas cuelgan de isProd: con speed 10 el lavado de 180 s dura 18 s (el cliente paga 8000 pesos y recibe 18 segundos de agua), el simulador de ESP32 no se apaga y queda corriendo dentro del servidor publico pudiendo consumir autorizaciones en vez de la maquina real, y la validacion de JWT_SECRET no dispara. Guia corregida, con la contrapartida escrita: con NODE_ENV=production el simulador queda apagado y no se puede probar el ciclo completo sin hardware desde ese deploy, que es lo correcto porque esta expuesto a internet. ADR-026: las credenciales de admin tienen defaults conocidos que se siembran solos SIN guarda de produccion, a diferencia de JWT_SECRET que si la tiene; y seedDemo viene en true tambien en produccion, sembrando AE100AA como remis 500 pesos y AE200AA como socio 2000 pesos. Quien conozca los defaults entra al admin, registra cualquier patente como remis y vacia el modelo de negocio sin tocar el hardware; ademas puede rotar el secret del dispositivo y dejar el ESP32 sin poder autenticarse hasta re-flashearlo, o sea un viaje a la maquina. Mitigado en la guia con SEED_DEMO=false y clave propia; el arreglo real, que el arranque FALLE como ya hace con JWT_SECRET, entra a la Fase 1. Detalle: la guarda de JWT_SECRET compara contra el literal dev-only-change-me pero el default real es la cadena vacia, asi que nunca puede dispararse por el default; no es explotable pero no protege de lo que cree proteger. AUDITADO SIN BUG y vale registrarlo: el camino al motor esta solido. startSessionFromDevice valida que la sesion sea de esa maquina, usa lock de fila sobre sesion y autorizacion, rechaza si la autorizacion esta CONSUMED, REVOKED o EXPIRED, y consume la autorizacion en la misma transaccion que la transicion a RUNNING, asi que doble pulsacion o replay dentro de la ventana HMAC no arrancan un segundo ciclo; los intentos fallidos se registran fuera de la transaccion para que el rastro sobreviva al rollback. ADR-001 confirmado. Commit d728ddd."
2026-09-18,hidro-self-service,windows,modo-demo-en-produccion-adr048,115000,0,"Estimado. Pablo abrio la sesion con el problema del ADR-047: su cliente entra a hidro-api.insolvadev.com, elige HIDRO-01 y no puede cargar patente ni PIN ni llegar a Mercado Pago; quiere ver la simulacion para ir puliendo la interfaz sin esperar al hardware. El ADR-047 dejaba 3 opciones sin decidir y la regla del Mundo era elegir con Pablo antes de tocar codigo: se le presentaron con la plata y la infra de cada una y eligio (a), simulador en produccion detras de env var. ANTES de preguntarle se leyo el codigo y aparecio un dato que cambiaba el presupuesto de esa opcion: sacar el !isProd de config.ts NO alcanzaba. Dos bloqueos que la causa raiz del ADR-047 no habia visto, los dos encontrados leyendo y confirmados ejecutando: (1) hub.ts levanta el secret del dispositivo de devices.json y ese archivo SOLO se escribe cuando el device se siembra por primera vez (seed.ts), asi que en produccion, donde HIDRO-01 existe hace semanas, el archivo no esta y nunca se iba a escribir: el hub habria salteado la maquina y todo seguia igual de fuera de servicio. Arreglado cayendo a descifrar el secret de la base con DEVICE_AUTH_SECRET, que ademas resulto MEJOR que la alternativa porque el secret en claro ya no se escribe nunca al volumen en produccion (se restringieron seed y rotar-secret a no-produccion). (2) isDemoAuthorizationWithheld retiene las autorizaciones para TODOS los dispositivos en produccion con pagos demo (ADR-039), asi que el flujo demo se colgaba para siempre en esperando pulsador. Arreglado con un parametro {simulated:true} que solo puede pasar el SimDevice in-process: un ESP32 fisico entra por la ruta HTTP con HMAC, que nunca lo setea; hay un test que pide la misma autorizacion viva por los dos caminos en el mismo instante y prueba que la placa real sigue sin recibirla. Guarda nueva en assertProductionConfig: DEVICE_SIMULATOR + PAYMENT_PROVIDER=mercadopago hace que la API NO arranque -- se eligio fallar en el deploy (donde Pablo esta mirando los logs) en vez de auto-apagar en silencio, porque es la unica combinacion que le cobra plata real a un cliente por una maquina que no existe. La API publica simulatedDevice y la web muestra cartel MODO DEMO en landing y maquina, con atajo al pulsador simulado; de paso el link al simulador en la landing se oculta cuando no hay simulador (antes quedaba muerto para un cliente real). VERIFICADO EJECUTANDO, no solo con tests: se levanto la app buildeada con NODE_ENV=production + DEVICE_SIMULATOR=true (identico a lo que va a correr Coolify), se confirmo que NO se escribe devices.json en el volumen, que HIDRO-01 queda ONLINE/AVAILABLE y que el flujo entero corre por HTTP (cotizar 500 remis -> pago demo -> autorizacion tomada por el simulado -> pulsador -> RELAY ON -> RUNNING). Trampa del camino: las capturas de pantalla contra esa instancia salian en blanco -- es el upgrade-insecure-requests del CSP de helmet, que sobre http://127.0.0.1 upgradea los assets a https y los rompe; en produccion real el navegador ve https por Cloudflare y es inocuo, asi que se capturo via el dev server. 118/118 tests verdes (5 nuevos en demo-mode.test.ts). Firmware NO tocado, asi que no hizo falta pio run. Queda un solo paso humano (C4): prender DEVICE_SIMULATOR=true en Coolify. ADR-048."
2026-09-22,hidro-self-service,windows,webhook-ipn-legado-adr052,450000,0,"Estimado. Pablo pidio trabajo que no dependiera de el (``que tenes para hacer de forma automatica sin que yo este involucrado), asi que se tomo el unico frente desbloqueado con plata real de por medio: el 401 permanente de la via IPN legada que el ADR-051 habia dejado abierto. ADR-052. DIAGNOSTICO POR EVIDENCIA, no por deduccion: se abrio la base PGlite local de la prueba de sandbox del 2026-09-20 con un script y se leyeron los audit_logs -- WEBHOOK_RECEIVED a las 03:00:42.701 (via firmada, procesada) y WEBHOOK_INVALID reason=firma HMAC invalida 942 ms despues. O sea que la via legada SI manda x-signature pero no valida, que es distinto de lo que suponia el ADR-051. La doc de MP lo dice literal: las notificaciones IPN despite receiving the x-Signature header do not allow validation through the secret key, y IPN va a ser discontinuada. No hay arreglo criptografico posible. PIPELINE: /autoplan con UNA SOLA VOZ -- codex exec devolvio You have hit your usage limit, try again at Sep 28th 2026, verificado ejecutando un prompt trivial antes de declararlo caido. Pablo pidio explicitamente dejar anotado volver a revisar esta etapa con Codex: quedo en TODOS.md con fecha. Las dos voces Claude (CEO y Eng) aportaron 24 hallazgos y CAMBIARON EL PLAN DE VERDAD; los cuatro mas duros se verificaron contra el codigo antes de aceptarlos, y los cuatro dieron ciertos. TRES PREMISAS PROPIAS SE CAYERON: (1) cada pago real deja un 401 -- falso hoy, produccion esta en PAYMENT_PROVIDER=demo y devuelve 404 antes de mirar firmas, asi que esto era barato-ahora y no urgente; (2) el riesgo es que MP de de baja el webhook -- SIN FUENTE, se busco y MP no documenta ningun umbral de desactivacion; lo que si documenta es que reintenta hasta 4 DIAS sin 200/201, asi que el costo real es una cola de reintentos por pago (misma conclusion, fundamento verificable: el rigor documental estaba en la conclusion y no en la premisa); (3) la mas importante, la via firmada va a estar ahi -- PROBABLEMENTE FALSA EN EL DEBUT, porque las dos vias no se habilitan igual: la legada sale sola de notification_url (codigo) y la firmada se da de alta A MANO en el panel de la cuenta, de donde sale MERCADOPAGO_WEBHOOK_SECRET. En la cuenta nueva de la cooperativa ese panel va a estar vacio: llegaria solo la via legada, sin secret, y validateWebhook rechaza todo. Con el fix ingenuo (200 a la legada) TODOS los pagos caerian al barrido en silencio, y el barrido es de UN SOLO DISPARO (verificado en sessionService: busca una vez al cruzar el timeout, si no encuentra deja PAYMENT_EXPIRED y queda rescate manual). El plan original cambiaba un fallo ruidoso y auto-recuperable por uno mudo y manual, justo en la configuracion mas probable del primer dia real. SE ATACO LA RAIZ en vez de administrarla: assertProductionConfig ahora exige el webhook secret con provider mercadopago, asi que la API no arranca sin el -- falla en el deploy, no con un cliente parado frente a la maquina. Ademas se invirtio el orden validar->clasificar (clasificar por forma ANTES de validar puede descartar en silencio una notificacion firmada y legitima si MP cambia un formato) y se condiciono el 200: IPN esperada -> 200, falta el secret -> 503 a proposito para mantener viva la cola de reintentos, cualquier otra cosa -> 401. OTRO HALLAZGO DEL REVIEW QUE ERA UN AGUJERO PROPIO: el detector WEBHOOK_MISSING como yo lo habia especificado NO PODIA DISPARAR NUNCA -- buscaba sesiones sin WEBHOOK_RECEIVED, pero ese audit se escribe para TODOS los sources incluido el barrido (paymentService, fuera de toda rama). El source es el dato, no el rastro. TESTS: se descubrio que NINGUN test pegaba a /api/webhooks/mercadopago -- el filtro de topic y la guarda 404 del modo demo, las dos cosas que deciden que contesta produccion, nunca se habian ejercitado. Nueva suite webhook-routes.test.ts (12 tests) con las dos vias concurrentes de verdad (Promise.all, no separadas por 942 ms) y la base caida. Trampa fina evitada gracias al review: Express usa qs con allowDots:false, asi que ?data.id=X llega como la clave LITERAL data.id -- leerlo como req.query.data?.id daria undefined siempre y habria clasificado la via firmada como legada, o sea 200 mudo a notificaciones reales. Hay test dedicado. Se corrigieron comentarios que MENTIAN y ya habian inducido a error: webhookRoutes decia Mercado Pago no re-reintenta (reintenta 4 dias) y que MP termina desactivando el webhook (la premisa sin fuente), mercadoPagoProvider decia que MP manda SOLO el formato legado contradiciendo al propio ADR-051, y el test formato legado con firma valida FIRMA EL MISMO el manifest que el codigo espera: pasa por construccion, no porque MP firme asi. DECIDIDO POR PABLO EN EL GATE: (a) el paquete del webhook antes que el reencuadre de confirmacion por pull, que queda como proximo candidato fuerte (hoy el cliente puede quedar hasta 120 s mirando una pantalla quieta si el aviso no llega); (b) NO tocar la ventana anti-replay de 300 s, que el review sospecha que rompe los reintentos de la via firmada, hasta verificarlo con un pago real -- el supuesto no esta verificado y no hay plata real en juego todavia. 136/136 tests verdes (123 antes). Firmware NO tocado, no hizo falta pio run. Nada de esto prueba que MP se comporte como se simula: la verificacion real es ver DOS 200 en el inspector del tunel, y quedo agrupada en pendientes-manual.md C2b."
